2023-10-01,USD,1.366779
2023-10-02,USD,1.366824
2023-10-03,USD,1.371212
2023-10-04,USD,1.374076
2023-10-05,USD,1.372684
2023-10-06,USD,1.369388
2023-10-07,USD,1.366976
2023-10-08,USD,1.366100
2023-10-09,USD,1.366242
2023-10-10,USD,1.367508
2023-10-11,USD,1.364904
2023-10-12,USD,1.363126
2023-10-13,USD,1.365506
2023-10-14,USD,1.369467
2023-10-15,USD,1.370911
2023-10-16,USD,1.370774
2023-10-17,USD,1.369055
2023-10-18,USD,1.369038
2023-10-19,USD,1.370680
2023-10-20,USD,1.373191
2023-10-21,USD,1.372623
2023-10-22,USD,1.372910
2023-10-23,USD,1.372908
2023-10-24,USD,1.370499
2023-10-25,USD,1.367017
2023-10-26,USD,1.369764
2023-10-27,USD,1.371199
2023-10-28,USD,1.370092
2023-10-29,USD,1.371761
2023-10-30,USD,1.371650
2023-10-31,USD,1.366606
2023-10-01,EUR,1.444310
2023-10-02,EUR,1.444120
2023-10-03,EUR,1.443430
2023-10-04,EUR,1.438420
2023-10-05,EUR,1.439920
2023-10-06,EUR,1.441240
2023-10-07,EUR,1.442660
2023-10-08,EUR,1.443400
2023-10-09,EUR,1.443260
2023-10-10,EUR,1.442500
2023-10-11,EUR,1.444860
2023-10-12,EUR,1.445800
2023-10-13,EUR,1.445150
2023-10-14,EUR,1.440840
2023-10-15,EUR,1.437330
2023-10-16,EUR,1.437610
2023-10-17,EUR,1.442520
2023-10-18,EUR,1.445620
2023-10-19,EUR,1.446770
2023-10-20,EUR,1.449830
2023-10-21,EUR,1.452420
2023-10-22,EUR,1.452960
2023-10-23,EUR,1.452970
2023-10-24,EUR,1.455000
2023-10-25,EUR,1.452980
2023-10-26,EUR,1.449170
2023-10-27,EUR,1.446100
2023-10-28,EUR,1.446780
2023-10-29,EUR,1.445470
2023-10-30,EUR,1.445650
2023-10-31,EUR,1.446620
