Create Date,Create Time,License Code,Application,Status
12/08/2022, 8:02:12, 2E56-E235-6EEE-0F5E-AB4A, PC Scale, New
12/08/2022, 8:02:12, 7028-3E0E-175B-A1F7-2739, PC Scale, New
12/08/2022, 8:02:12, 7A10-5D37-B80D-219F-E30A, PC Scale, New
12/08/2022, 8:02:12, A235-D159-5060-F3A1-A019, PC Scale, New
12/08/2022, 8:02:12, 0B30-DD0A-7E84-492B-0615, PC Scale, New
12/08/2022, 8:02:12, 9A5D-8643-B5B0-34E6-8C56, PC Scale, New
12/08/2022, 8:02:12, 0760-93BD-16EB-D12C-9570, PC Scale, New
12/08/2022, 8:02:12, 2F1E-F5B3-3699-762E-2389, PC Scale, New
